2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 18:58:11 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:39:22 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:55:34 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:56:17 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 19:57:18 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 20:03:51 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 20:06:15 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 21:36:43 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-07 21:37:06 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 08:44:19 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:22:45 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:25:27 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:36:22 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:44:31 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-501, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-502, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-503, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-504, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-505, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-506, error=缺少必需字段: uid
2026-06-08 09:54:35 | ERROR | tool schema 校验失败 | trace=T-507, error=缺少必需字段: uid
